comment,label,race,religion,gender,sexual_orientation,miscellaneous
Male deserve equal treatment.,hate speech,Nigeria,Hindu,Male,Bisexual,Refugee
"You are being so hate speech, please stop.",hate speech,Brazil,Muslim,Female,Bisexual,None
"You are being so normal, please stop.",normal,USA,None,Non-binary,Heterosexual,None
I can't believe people from USA still think like this.,offensive,USA,Muslim,Male,Heterosexual,Refugee
This is such a hateful thing to say about Muslim people.,offensive,UK,Muslim,Non-binary,Bisexual,None
"You are being so offensive, please stop.",offensive,Germany,Hindu,Male,Heterosexual,Disability
Homosexual rights are human rights!,hate speech,India,Muslim,Female,Homosexual,Refugee
Stop treating Refugee like second-class citizens.,normal,Nigeria,Buddhist,Non-binary,Bisexual,Refugee
Bisexual rights are human rights!,normal,UK,Buddhist,Female,Bisexual,Refugee
Stop treating Refugee like second-class citizens.,hate speech,China,Buddhist,Male,Heterosexual,Refugee
Stop treating Refugee like second-class citizens.,hate speech,Brazil,Muslim,Non-binary,Bisexual,Refugee
Female deserve equal treatment.,normal,UK,Muslim,Female,Heterosexual,Refugee
"You are being so normal, please stop.",normal,India,Muslim,Male,Other,Refugee
"You are being so normal, please stop.",normal,Germany,Hindu,Female,Homosexual,None
Non-binary deserve equal treatment.,hate speech,UK,Buddhist,Non-binary,Other,Minority
India culture is so rich and beautiful.,offensive,India,Buddhist,Female,Heterosexual,Other
Stop treating Disability like second-class citizens.,hate speech,Nigeria,None,Male,Heterosexual,Disability
This is such a hateful thing to say about Muslim people.,normal,USA,Muslim,Male,Heterosexual,Other
This is such a hateful thing to say about Hindu people.,offensive,Russia,Hindu,Female,Other,Refugee
Other rights are human rights!,normal,UK,Jewish,Male,Other,Minority
Stop treating Minority like second-class citizens.,offensive,UK,Buddhist,Non-binary,Bisexual,Minority
Attacking someone's Sikh is never okay.,hate speech,China,Sikh,Non-binary,Bisexual,Other
Attacking someone's Sikh is never okay.,hate speech,USA,Sikh,Non-binary,Heterosexual,Refugee
Attacking someone's Buddhist is never okay.,normal,Nigeria,Buddhist,Non-binary,Heterosexual,Other
USA culture is so rich and beautiful.,offensive,USA,Buddhist,Non-binary,Homosexual,Other
"This is just a normal opinion, nothing normal about it.",normal,India,Buddhist,Female,Bisexual,Other
This is such a hateful thing to say about Hindu people.,offensive,Brazil,Hindu,Female,Bisexual,Other
Attacking someone's Hindu is never okay.,normal,China,Hindu,Female,Bisexual,Other
Attacking someone's Jewish is never okay.,hate speech,Brazil,Jewish,Non-binary,Bisexual,None
Homosexual rights are human rights!,normal,UK,Jewish,Female,Homosexual,None
China culture is so rich and beautiful.,normal,China,Hindu,Male,Other,Minority
Stop treating Other like second-class citizens.,offensive,Germany,None,Male,Homosexual,Other
Homosexual rights are human rights!,normal,Brazil,Sikh,Female,Homosexual,Disability
This is such a hateful thing to say about None people.,offensive,Brazil,None,Male,Homosexual,Other
"You are being so normal, please stop.",normal,Russia,None,Male,Other,Disability
I can't believe people from Germany still think like this.,offensive,Germany,Jewish,Male,Other,Other
This is such a hateful thing to say about Jewish people.,hate speech,Brazil,Jewish,Male,Other,Minority
I can't believe people from Brazil still think like this.,hate speech,Brazil,None,Non-binary,Bisexual,Other
Stop treating Disability like second-class citizens.,offensive,UK,Muslim,Non-binary,Heterosexual,Disability
I can't believe people from USA still think like this.,normal,USA,Hindu,Male,Homosexual,None
"You are being so offensive, please stop.",offensive,Nigeria,Christian,Non-binary,Bisexual,Refugee
"You are being so offensive, please stop.",offensive,Brazil,Christian,Female,Heterosexual,Other
I can't believe people from Brazil still think like this.,normal,Brazil,Jewish,Male,Heterosexual,Minority
Attacking someone's None is never okay.,hate speech,Brazil,None,Female,Heterosexual,None
Heterosexual rights are human rights!,normal,Brazil,Muslim,Non-binary,Heterosexual,None
UK culture is so rich and beautiful.,offensive,UK,Jewish,Non-binary,Other,Refugee
I can't believe people from India still think like this.,offensive,India,Sikh,Non-binary,Bisexual,Minority
Why are Female always blamed?,normal,China,Buddhist,Female,Other,Minority
This is such a hateful thing to say about Buddhist people.,hate speech,USA,Buddhist,Female,Other,Disability
USA culture is so rich and beautiful.,hate speech,USA,None,Male,Bisexual,Minority
This is such a hateful thing to say about Muslim people.,hate speech,India,Muslim,Male,Other,Minority
"You are being so normal, please stop.",normal,USA,Hindu,Male,Homosexual,Refugee
"This is just a normal opinion, nothing hate speech about it.",hate speech,India,Christian,Male,Other,Refugee
Bisexual rights are human rights!,hate speech,Brazil,None,Female,Bisexual,Refugee
Attacking someone's Christian is never okay.,offensive,Brazil,Christian,Non-binary,Homosexual,Refugee
I can't believe people from Russia still think like this.,offensive,Russia,Sikh,Non-binary,Bisexual,Refugee
This is such a hateful thing to say about Jewish people.,offensive,India,Jewish,Female,Other,None
Stop treating None like second-class citizens.,normal,Germany,Christian,Non-binary,Heterosexual,None
Stop treating Disability like second-class citizens.,hate speech,Brazil,Muslim,Female,Other,Disability
Russia culture is so rich and beautiful.,normal,Russia,Sikh,Female,Homosexual,Other
Stop treating Minority like second-class citizens.,offensive,China,Muslim,Non-binary,Heterosexual,Minority
Attacking someone's Sikh is never okay.,hate speech,UK,Sikh,Non-binary,Heterosexual,None
Russia culture is so rich and beautiful.,hate speech,Russia,Muslim,Non-binary,Heterosexual,None
Bisexual rights are human rights!,hate speech,Russia,Buddhist,Non-binary,Bisexual,Refugee
Stop treating None like second-class citizens.,offensive,Nigeria,Sikh,Non-binary,Heterosexual,None
I can't believe people from Nigeria still think like this.,offensive,Nigeria,Christian,Non-binary,Heterosexual,Minority
This is such a hateful thing to say about Buddhist people.,hate speech,Germany,Buddhist,Non-binary,Bisexual,Refugee
Homosexual rights are human rights!,offensive,India,Muslim,Female,Homosexual,None
Why are Male always blamed?,hate speech,USA,None,Male,Heterosexual,None
Male deserve equal treatment.,offensive,UK,Jewish,Male,Other,Minority
This is such a hateful thing to say about Jewish people.,normal,Nigeria,Jewish,Male,Other,Refugee
Stop treating None like second-class citizens.,offensive,UK,Christian,Non-binary,Heterosexual,None
Why are Male always blamed?,normal,Russia,Hindu,Male,Bisexual,Minority
"You are being so offensive, please stop.",offensive,Russia,Buddhist,Non-binary,Heterosexual,Other
"This is just a normal opinion, nothing offensive about it.",offensive,UK,Hindu,Non-binary,Homosexual,Disability
I can't believe people from UK still think like this.,hate speech,UK,None,Non-binary,Heterosexual,Other
Female deserve equal treatment.,normal,Germany,Hindu,Female,Bisexual,Minority
Why are Non-binary always blamed?,offensive,Germany,Jewish,Non-binary,Bisexual,Refugee
Germany culture is so rich and beautiful.,hate speech,Germany,Jewish,Non-binary,Bisexual,Disability
Attacking someone's Hindu is never okay.,offensive,Germany,Hindu,Female,Heterosexual,Disability
Attacking someone's Buddhist is never okay.,normal,Russia,Buddhist,Non-binary,Bisexual,Other
I can't believe people from Russia still think like this.,offensive,Russia,Hindu,Female,Bisexual,Minority
"This is just a normal opinion, nothing hate speech about it.",hate speech,India,Buddhist,Female,Heterosexual,None
Homosexual rights are human rights!,hate speech,Nigeria,Hindu,Non-binary,Homosexual,Disability
I can't believe people from Nigeria still think like this.,hate speech,Nigeria,Muslim,Male,Homosexual,Disability
Male deserve equal treatment.,offensive,Brazil,Sikh,Male,Bisexual,Refugee
Why are Female always blamed?,hate speech,UK,Buddhist,Female,Bisexual,Other
I can't believe people from Nigeria still think like this.,offensive,Nigeria,Christian,Male,Bisexual,Disability
This is such a hateful thing to say about Sikh people.,offensive,USA,Sikh,Non-binary,Heterosexual,Refugee
"You are being so offensive, please stop.",offensive,UK,Christian,Female,Homosexual,Disability
Why are Non-binary always blamed?,offensive,Russia,Hindu,Non-binary,Heterosexual,Disability
"This is just a normal opinion, nothing offensive about it.",offensive,India,None,Non-binary,Other,Other
I can't believe people from USA still think like this.,normal,USA,Hindu,Non-binary,Heterosexual,Other
Stop treating Other like second-class citizens.,offensive,Nigeria,Buddhist,Female,Homosexual,Other
Male deserve equal treatment.,normal,Nigeria,Hindu,Male,Other,Disability
Attacking someone's Buddhist is never okay.,hate speech,Brazil,Buddhist,Non-binary,Heterosexual,Refugee
Why are Female always blamed?,hate speech,Nigeria,Sikh,Female,Bisexual,Disability
"This is just a normal opinion, nothing normal about it.",normal,Nigeria,Christian,Male,Homosexual,Refugee
"You are being so hate speech, please stop.",hate speech,Russia,Jewish,Female,Homosexual,Refugee
Stop treating Other like second-class citizens.,normal,Brazil,Muslim,Female,Other,Other
Other rights are human rights!,hate speech,Germany,Muslim,Non-binary,Other,Disability
I can't believe people from Nigeria still think like this.,normal,Nigeria,None,Female,Heterosexual,None
I can't believe people from Brazil still think like this.,hate speech,Brazil,None,Female,Bisexual,Refugee
"This is just a normal opinion, nothing offensive about it.",offensive,China,Buddhist,Female,Other,Disability
Non-binary deserve equal treatment.,offensive,Germany,Christian,Non-binary,Heterosexual,None
Attacking someone's Muslim is never okay.,hate speech,Brazil,Muslim,Female,Other,Disability
Stop treating Other like second-class citizens.,hate speech,Nigeria,Buddhist,Male,Heterosexual,Other
Stop treating Disability like second-class citizens.,normal,Germany,Christian,Female,Heterosexual,Disability
"You are being so normal, please stop.",normal,UK,Buddhist,Male,Bisexual,Refugee
This is such a hateful thing to say about None people.,normal,India,None,Female,Heterosexual,Refugee
Attacking someone's Buddhist is never okay.,normal,China,Buddhist,Female,Homosexual,Refugee
This is such a hateful thing to say about Christian people.,normal,India,Christian,Male,Bisexual,Disability
Other rights are human rights!,hate speech,Russia,None,Non-binary,Other,Minority
"This is just a normal opinion, nothing hate speech about it.",hate speech,India,Hindu,Female,Bisexual,Disability
Attacking someone's Christian is never okay.,hate speech,Germany,Christian,Female,Other,Other
Non-binary deserve equal treatment.,normal,India,Muslim,Non-binary,Homosexual,Other
Why are Non-binary always blamed?,offensive,UK,Muslim,Non-binary,Homosexual,Minority
I can't believe people from India still think like this.,offensive,India,None,Female,Heterosexual,Other
This is such a hateful thing to say about Muslim people.,hate speech,Germany,Muslim,Male,Bisexual,Other
Attacking someone's Jewish is never okay.,offensive,Russia,Jewish,Non-binary,Heterosexual,Disability
Non-binary deserve equal treatment.,offensive,Russia,Christian,Non-binary,Other,Disability
Stop treating None like second-class citizens.,normal,China,None,Male,Other,None
"You are being so offensive, please stop.",offensive,USA,Hindu,Female,Homosexual,Other
"This is just a normal opinion, nothing normal about it.",normal,Germany,Buddhist,Female,Heterosexual,Refugee
Stop treating Other like second-class citizens.,offensive,Nigeria,Sikh,Non-binary,Homosexual,Other
USA culture is so rich and beautiful.,normal,USA,Muslim,Male,Bisexual,Disability
Male deserve equal treatment.,hate speech,Russia,None,Male,Other,Refugee
"This is just a normal opinion, nothing normal about it.",normal,Russia,Buddhist,Non-binary,Bisexual,Refugee
"This is just a normal opinion, nothing normal about it.",normal,USA,Hindu,Female,Other,Refugee
Male deserve equal treatment.,normal,India,Sikh,Male,Other,Refugee
"You are being so offensive, please stop.",offensive,UK,Sikh,Non-binary,Bisexual,Minority
"This is just a normal opinion, nothing hate speech about it.",hate speech,Russia,Muslim,Male,Homosexual,Disability
"This is just a normal opinion, nothing hate speech about it.",hate speech,Nigeria,Sikh,Female,Other,Refugee
Homosexual rights are human rights!,normal,UK,None,Male,Homosexual,Refugee
Female deserve equal treatment.,offensive,USA,Christian,Female,Homosexual,Disability
Bisexual rights are human rights!,offensive,Russia,Sikh,Female,Bisexual,Other
This is such a hateful thing to say about Buddhist people.,offensive,Nigeria,Buddhist,Non-binary,Bisexual,Other
"This is just a normal opinion, nothing hate speech about it.",hate speech,Russia,None,Female,Bisexual,Other
